question,answer_order
15423,51234
51342,43125
43215,25431
32415,43521
14532,45132
31542,14253
32514,31245
35421,24351
13425,41325
25143,41235
24315,24531
52314,15342
13542,23451
12354,51243
21543,35241
41532,41235
15243,54132
43521,52314
25314,43251
14325,31254
13245,42135
42531,41325
54231,12543
15432,31542
25341,24135
41325,52143
43251,43125
52341,12345
14253,53241
13524,42531
51243,32154
25413,24351
23451,23451
51234,34251
54123,21435
34512,52413
32451,15324
53214,41532
35241,51234
14235,45213
53241,51234
21345,35412
15324,24531
21453,24513
34215,35412
34125,35412
45312,54312
52431,41532
23514,45312
21534,23415
43152,41352
21435,34512
12345,12435
23145,41352
24135,53412
41523,25341
32145,23415
13452,41532
24531,53142
14523,15432
12534,32415
45231,32154
42513,35142
24153,35241
41352,24531
43512,42531
23154,34512
52134,42315
32154,15243
15342,35241
52413,15234
35214,14532
25134,21354
54213,32451
42135,32145
35124,41235
53412,54213
51324,42153
51423,23154
32541,12345
41253,32145
15234,31542
12435,53421
31245,14352
12543,35421
54132,52134
25431,24153
41235,42531
54312,53421
45321,34215
34152,32514
42153,25314
24513,24315
35412,53412
45123,51243
53124,35124
12453,12453
54321,42315
43125,12345
31425,15234
